Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom
Norway,1,7.537000179,1.616463184,0.796666503,0.635422587
Denmark,2,7.521999836,1.482383013,0.792565525,0.626006722
Iceland,3,7.504000187,1.48063302,0.833552122,0.627162635
Switzerland,4,7.493999958,1.564979553,0.858131289,0.620070577
Finland,5,7.468999863,1.443571925,0.80915767,0.617950857
Netherlands,6,7.376999855,1.503944635,0.810696125,0.585384488
Canada,7,7.315999985,1.479204416,0.834557652,0.611100912
New Zealand,8,7.31400013,1.405706048,0.816759706,0.61406213
Sweden,9,7.28399992,1.494387269,0.830875158,0.612924099
Australia,10,7.28399992,1.484414935,0.843886793,0.601607382
Israel,11,7.212999821,1.375382423,0.838404,0.405988604
Costa Rica,12,7.078999996,1.109706283,0.759509265,0.58013165
Austria,13,7.006000042,1.487097263,0.815328419,0.56776619
United States,14,6.993000031,1.546259284,0.774286628,0.505740523
Ireland,15,6.977000237,1.535706639,0.809782624,0.573110342
Germany,16,6.951000214,1.487923384,0.798950732,0.562511384
Belgium,17,6.890999794,1.463780761,0.818091869,0.539770722
Luxembourg,18,6.862999916,1.741943598,0.845089495,0.596627891
United Kingdom,19,6.714000225,1.44163394,0.805335939,0.508190036
Chile,20,6.65199995,1.25278461,0.819479704,0.376895279
United Arab Emirates,21,6.647999763,1.626343369,0.726798236,0.60834527
Brazil,22,6.635000229,1.10735321,0.616552353,0.437453747
Czech Republic,23,6.609000206,1.352682352,0.754444003,0.490946174
Argentina,24,6.598999977,1.185295463,0.695137084,0.494519204
Mexico,25,6.578000069,1.153183818,0.709978998,0.412730008
Singapore,26,6.572000027,1.69227767,0.949492395,0.549840569
Malta,27,6.52699995,1.343279839,0.821944237,0.588767052
Uruguay,28,6.453999996,1.217559695,0.719216824,0.579392254
Guatemala,29,6.453999996,0.872001946,0.54023999,0.531310618
Panama,30,6.452000141,1.233748436,0.706156135,0.550026834
France,31,6.441999912,1.430923462,0.844465852,0.470222116
Thailand,32,6.423999786,1.127868772,0.647239029,0.580200732
Taiwan Province of China,33,6.421999931,1.433626533,0.793984234,0.361466587
Spain,34,6.402999878,1.384397864,0.8889606,0.40878123
Qatar,35,6.375,1.870765686,0.710098088,0.604130983
Colombia,36,6.356999874,1.070622325,0.595027924,0.477487415
Saudi Arabia,37,6.343999863,1.530623555,0.59014833,0.449750572
Trinidad and Tobago,38,6.168000221,1.361355901,0.519983292,0.518630743
Kuwait,39,6.105000019,1.632952452,0.632105708,0.496337593
Slovakia,40,6.09800005,1.325393558,0.712732911,0.295817465
